Macht	мощь, сила, могущество, власть
Klappbett	складная кровать
Testresultat	результат теста
Aktivistin	активистка
Hinterhältigkeit	скрытность
Rachedurst	жажда мести (мщения)
Vernehmungsraum	комната для допросов
manisch-depressiv	психиатр. маниакально-депрессивный
Autokolonne	автоколонна
Ziegelei	кирпичный завод
Entrückung	отрешённость, погружённость в свои мысли, погружение в свои мысли, отрешение
Sechstklässler	шестиклассник
ätsch	так тебе и надо
Absacker	посошок
bewegungsunfähig	неподвижный; лишенный подвижности (маневренности)
Begleichung	уравнивание
erzen	металлический
Exhumierung	эксгумация
Mittagszug	полуденный поезд
Jugendhaft	лишение свободы с содержанием в колонии для малолетних правонарушителей
Führungsrolle	направляющий ролик
Kalifat	истор. халифат
Plauderstündchen	болтовня, посиделки
Landungsschiff	десантный корабль
Flammenmeer	море огня
herausquetschen	выдавить, вытянуть
Datenspeicher	накопитель данных
Teeblatt	чайный лист
Trauerkloß	разг. унылая личность, зануда
Hitliste	хит-парад
scheißkalt	до усрачки холодный
Großbank	крупный банк
Schneck	улитка, малыш
Omama	бабуля
Bergstamm	горное племя
Kampfarena	боевая арена
Höhenmesser	высотомер
Molekularstruktur	молекулярная структура
Empanada	эмпанада
Flugmeile	бонусная миля
Teufelsanbeter	сатанист
Abschlussparty	выпускная вечеринка
Hühnerbrust	куриная грудка
Sensibelchen	неженка
Zivilperson	гражданское лицо
Melasse	меласса, кормовая патока
Hunderennen	собачьи бега
Geflügelsalat	салат из птицы
Sonderanfertigung	изделие на заказ
Wortwechsel	спор, пререкания, препирательство
Lockenstab	плойка, электрощипцы для завивки волос
Atemfrequenz	частота дыхания
Hexenschuss	прострел, люмбаго
Brandeisen	клеймо
Küchenabfall	пищевые отходы
Nichtskönner	(человек) ничего не умеющий делать; профан; бездарность
Tonleiter	муз. гамма
Pflaumensaft	сливовый сок
Monteur	монтёр
Schürhaken	кочерга
Reederei	судоходная компания
Messerwerfen	метание ножей
Sklaventreiber	рабовладелец, надсмотрщик
Rohmaterial	сырьё
Vertrauensperson	доверенное лицо
Wundheilung	заживление раны
Oberstaatsanwalt	прокурор земли, старший прокурор ( ФРГ)
Mumpitz	чепуха, вздор
Untermensch	истор., уничиж. недочеловек, представитель низшей расы, неариец
Fet	жир
Primärziel	первостепенная цель, основная цель
Standartenführer	штандартенфюрер (полковник войск СС в фашистской Германии)
Sadistin	садистка
Gottlosigkeit	безбожие
Bohnenfresser	бобоед (мексиканец)
Sicherheitsüberprüfung	проверка безопасности
Berufssoldat	кадровый солдат (военный)
Bodenpersonal	наземный персонал
Raubmord	убийство с целью ограбления
Beherrscher	властелин, повелитель
Waldläufer	зоол. фифи
Drachenblut	драконья кровь
Bernhardiner	сенбернар
Sorbet	шербет
Babysprache	детский лепет
Einkäufer	закупщик
Kindermörder	детоубийца
Kurzwelle	короткая волна
Diakon	дьякон, дьяк
Polkappe	полярная (ледяная) шапка
Absaugung	вытяжка, откачивание, отсасывание, отсос
Generalkonsul	генеральный консул
Nasenbär	носуха, коати
Fernsehansprache	выступление (речь) по телевидению
Amyloidose	амилоидоз
Spaßbremse	кайфолом, брюзга, душнила
Mucki	мускул, бицепс
Gefahrenzone	опасная зона
Massenkarambolage	массовое столкновение
Panikraum	комната-убежище
Acerola	ацерола
Skunk	скунс
Redaktionsschluss	подписание в печать
Schatzjäger	охотник за сокровищами
Polarität	полярность
Zeitvergeudung	пустая трата времени
Pilzinfektion	грибковая инфекция
Kanonenboot	канонерская лодка
Scheißleben	дерьмовая жизнь
Bauchspeicheldrüsenkrebs	рак поджелудочной железы
Kreditgeber	кредитор
Zulieferer	поставщик
Barfrau	барменша
Schrägstrich	косая черта
Ersatzspieler	запасной игрок
Öhrchen	ушко́
Rotlicht	красный свет
Seesack	вещмешок
Benzinkanister	канистра с бензином
Anästhesie	обезболивание, анестезия
Spezialauftrag	спецзадание
Allerheiligen	Навий День, День Всех Святых
Ladykiller	сердцеед
Blasebalg	меха
Nadir	надир
Weitwinkel	широкий угол
Vorhofflimmern	мерцательная аритмия
Verletzbarkeit	ранимость, уязвимость
Fernlicht	дальний свет
Alkoven	альков
Oxycodon	оксикодон
Sternenbanner	звёздный флаг (флаг США)
Hinkebein	хромая нога
Aderpresse	жгут
Tagesstätte	группа продлённого дня
Zynikerin	циник
Neapolitaner	неаполитанец
Walfänger	китолов, китобойное судно
Direktverbindung	прямое соединение
Kriegsgefangenenlager	лагерь для военнопленных
Narbengesicht	лицо со шрамом
Birdie	бёрди
Hühnerscheiße	куриное дерьмо
Autostopp	автостоп
Pastrami	пастрами
Sauerstoffgehalt	содержание кислорода
adagio	адажио
Atemgeräusch	дыхательный шум
Folterung	пытка, мучение; мука
Wahrscheinlichkeitsrechnung	теория вероятностей; исчисление вероятностей
Justizvollzugsanstalt	юр. юридическое учреждение, ведающее вопросами отбытия наказания
Flötenmusik	музыкальное произведение для флейты (пьеса, концерт)
Sperrung	перекрытие, блокировка
Heimdall	Хеймдалль
Neurotransmitter	нейромедиатор
Treffsicherheit	меткость, точность
Kilowatt	киловатт
Gebärmutterhals	шейка матки
Geschädigte	потерпевшая
Weiberheld	сердцеед, волокита, женский угодник
Leihe	заём, прокат
Wasserzeichen	водяной знак
Pegel	физ. уровень
Eckbüro	угловой кабинет
Wart	устар. хранитель, страж
Stahlplatte	стальная плита
Vermittlerin	посредница
Toilettenpause	перерыв в туалет
Blutplättchen	кровяная пластинка
Jägermeister	начальник охоты, Егермейстер
Endzeit	время окончания (напр., измерений)
Endspurt	финишный рывок
Myrte	мирт, мирт обыкновенный
Segeltuch	парусина
Allradantrieb	привод на все колёса
Seppuku	сэппуку
Torwächter	привратник, страж
Shona	шона
Stalljunge	конюх
Ehebrecherin	нарушающая супружескую верность; прелюбодейка
Mutagen	мутагенный
Spartiat	спартанец
Beschlagnahmung	конфискация
Reinette	ранет (сорт яблок)
Cab	такси
Hefezopf	дрожжевая коса (выпечка)
bleu	с кровью (о мясе)
ideell	идеальный (нематериальный)
Stinger	стингер (переносной зенитно-ракетный комплекс FIM-92 Stinger)
ordnungswidrig	нарушающий порядок, противоречащий порядку (правилам)
Düngemittel	удобрение
Päderast	педераст
tackern	скреплять степлером
Wasserratte	водяная крыса
onanieren	онанировать
Mistel	омела
zusammendrücken	сжимать, сдавливать
Henna	хна
Kritzelei	каракули, неразборчивое письмо
Bebop	сухой как порох
Fernsehzuschauer	телезритель
knochentrocken	бибоп
Tet	Тет
Höhenflug	полёт на больших высотах, высотный полёт
Strikeout	страйкаут
Hauer	клык, рубщик
einhängen	навешивать (раму и т. п.)
Scherzartikel	мн. ч. безделушки, карнавальные принадлежности (бумажные шапочки, картонные носы, маски, хлопушки и т. п.)
ausschlüpfen	вылупляться, ронять
abstecken	откалывать (приколотое)
Dienstalter	выслуга лет
Strohfirma	подставная фирма
Locher	дырокол
Badesalz	ароматная соль для ванн, соли для ванн
Großalarm	общая тревога
Müllpresse	мусорный пресс
genmanipuliert	биол. подвергшийся генной манипуляции
Schwindelgefühl	ощущение головокружения
Risswunde	рваная рана
Sekundenbruchteil	доля секунды
suizidgefährdet	подверженный угрозе суицида
etabliert	устоявшийся, признанный
Stahlseil	стальной трос, стальной канат
Simsalabim	симсалабим
unbesetzt	незанятый, пустой; вакантный, незамещённый (о должности)
Eierpunsch	яичный пунш
Schmierenkomödiant	кривляка, фигляр
bieder	честно
uneinnehmbar	неприступный (о крепости)
Fellatio	фелляция
platschen	плескаться, шлёпаться, хлопать, шлёпать
Staranwalt	звёздный адвокат
Gesundheitsrisiko	риск для здоровья
ableisten	отбывать, отбыть
Impertinenz	наглость, дерзость, бесстыдство, нахальство
herumreichen	передавать по кругу
abjagen	загонять
Unabhängiger	независимый
Sesterz	сестерций (денежная единица в древнем Риме)
Mehlsack	мешок (куль) с мукой; мешок для муки
Bettgeschichte	интрижка, романчик
Kurztrip	короткая поездка
Visconte	виконт
Caddie	кэдди
Schubdüse	реактивное сопло
aufkleben	наклеивать, налеплять
Tatortbericht	отчёт с места преступления
erniedrigt	униженный
Mountie	конный полицейский
Proktologe	проктолог
Geburtstagskerze	свеча на торте
Zeitungsmann	газетчик
dahaben	иметь в запасе; иметь в распоряжении
Gaudi	веселье, гулянка
Hemdchen	рубашонка, рубашечка
Blechbüchse	жестянка
überholt	устаревший, обогнавший
zuhauen	обтёсывать (камни)
Trockenfleisch	вяленое мясо
triezen	мучить, надоедать
Großfürst	великий князь, великая княгиня
Torero	тореро
Geometer	геодезист
Pernod	перно
hochfliegen	взлетать
Binder	связующее, папка
kandiert	засахаренный
nachreisen	ехать (путешествовать) вслед (за кем-л.)
Kontaktanzeige	объявление о знакомстве
Reaktorkern	активная зона реактора
Sportstipendium	спортивная стипендия
Billardsalon	бильярдная
Lug	устар. ложь
quartieren	квартовать
extragroß	очень большой
undiszipliniert	недисциплинированный
verscherbeln	разг. разбазаривать, продавать за бесценок
wegschleichen	улизнуть, ускользнуть
Kriegsschauplatz	театр военных действий
Spitzenmann	лучший человек, лидер
Babypuder	детская присыпка
beschleunigt	ускоренный
gelöst	решённый, расслабленный
Bubu	бо-бо
weiterwachsen	продолжать расти
Kindermund	детский рот
aufstauen	запруживать, поднимать (запрудой) (воду); накапливать
Kriegsbemalung	военная окраска
Opernmusik	оперная музыка
Befestigungsanlage	оборонительное сооружение, укрепление
Spaniel	спаниель
Zuwiderhandlung	нарушение (установлений)
untot	нежить, немёртвый
belladonna	белладонна
Elektroschocktherapie	электрошоковая терапия
Ziegenhirte	козопас
zwiegespalten	раздвоенный, двойственный
Filmdose	коробка для плёнки
ausbrennen	догорать, догореть
brüskieren	обращаться резко, оскорблять
Ouzo	узо
Grundbuch	поземельная книга, поземельный кадастр
Stiletto	женская туфля на каблуке-шпильке
Mah-Jongg	маджонг
Talon	талон, коготь
exhumieren	эксгумировать, извлекать из земли (труп для судебно-медицинского исследования)
Datensatz	запись
trübselig	унылый, печальный, грустный, мрачный; плачевный
KGB-Agent	агент КГБ
Barrio	район, квартал
vervierfachen	учетверять, увеличивать вчетверо
schwanzlutschend	членосос
Mudschahed	моджахед, муджахид
Hirnfunktion	функция мозга
anhauen	надрубать; надсекать; насекать
Hähnchenflügel	куриное крыло
Heimatstaat	отечество, родина
Betablocker	бета-блокатор
verschreibungspflichtig	отпускаемый только по рецепту (о лекарственном средстве)
Epidermis	эпидерма, эпидермис
durchknallen	перегореть
Bursch	парень, юноша
Schrulle	разг. причуда, каприз, прихоть; выверт
Tagesordnungspunkt	пункт повестки дня
untertänigst	покорнейше
Vergissmeinnicht	незабудка
Lasterhöhle	притон разврата, вертеп
verbleichen	тускнеть, выцветать
Bremsrakete	тормозная ракета; тормозной ракетный двигатель
Swami	свами
Polizeimeister	городничий
hochgeboren	высокородный
freikämpfen	отвоевать, вырваться
erschwindeln	мошеннически выманивать, обманным путём добиться (чего-л.); мошеннически нажить (что-л.)
postpartal	послеродовой
Korse	корсиканец
schwerbewaffnet	воен. тяжеловооружённый
wegschleppen	утащить
Ölgesellschaft	нефтяная компания
anlernen	обучать (какой-л. профессии кого-л.)
ausnüchtern	отрезвлять, давать протрезвиться
pfuschen	халтурить, небрежничать
Mordkommando	банда наёмных убийц
Herzensangelegenheit	сердечное дело
Achselhaar	волосы подмышкой
Phiole	хим. колба
Heizofen	печь, обогреватель
Schutzmauer	парапет; подпорная стенка
Zweifler	скептик
pinkfarben	розовый
durchrechnen	делать расчёт (подсчёт) (чего-л.), вычислять (что-л.); пересчитать, сосчитать (что-л.)
Stromstoß	эл.-техн. импульс тока, толчок тока
Konditionierung	кондиционирование
Verbindlichkeit	обязательность
Verbraucherschutz	защита потребителя
Jacuzzi	джакузи
unwesentlich	несущественный, незначительный
versteifen	оцепенеть; потерять подвижность
Pferdehuf	копыто лошади
bleifrei	неэтили́рованный
Vermisstenfall	дело о пропавшем
Dominostein	костяшка домино
Scheinheiliger	лицемер, ханжа
Wählerin	избирательница
Fußsoldat	пехотинец
Maggi	магги (приправа)
Volldepp	полный придурок
Holzdiele	деревянный настил
Pferdewette	ставка на скачках
Morgengebet	утренняя молитва
verschleiert	скрытый, завуалированный
nadeln	осыпаться (о )
Testflug	испытательный полёт
herlaufen	прибегать; прибежать
Irokese	ирокез
Pusteblume	белый одуванчик
existenziell	книжн. экзистенциальный
Verteidigungsstellung	полоса обороны, оборонительная позиция
Einser	единица, один, однёрка
Erstklässler	первоклассник
Notstrom	аварийное питание
Freistoß	свободный удар (футбол)
dehnbar	эластичный, растяжимый
unterbelichtet	тупой, недалёкий
herumstolzieren	расхаживать, важничать
erlaucht	сиятельный, светлейший, августейший
vollquatschen	заболтать
maßstabsgetreu	в точном масштабе
abgebrannt	без денег, разорённый
Krankenbericht	врачебное заключение, медицинское заключение, история болезни
Planetoid	малая планета
aufwiegeln	подстрекать
Lunchbox	ланчбокс
Schoko	шоколадка, шоко
schrottreif	годный в металлолом
unveräußerlich	неотчуждаемий
verleiden	портить, отравлять (напр., удовольствие кому-л.); внушать отвращение (к кому-л., к чему-л.); отбивать охоту (к чему-л. у кого-л.)
ausgewiesen	высланный, обозначенный
Beluga	белуга
naturgetreu	верный природе, естественный
Kampftruppe	боевая (организационная) единица
Geschlechtsteil	анат. половой орган
abrollen	разматывать (катушку)
Mime	лицедей
zurückdatieren	датировать задним числом
Onkelchen	дядюшка
Geldverleiher	кредитор, заимодавец
anknabbern	грызть, обгрызать; надгрызать
Lemming	лемминг
Fliegenfischen	нахлыст, рыбалка на муху
wahnhaft	бредовый
Flüssigstickstoff	жидкий азот
Klepper	разг. кляча, лошадёнка
paramilitärisch	военизированный, полувоенный
Kopfwunde	рана (ранение) в голову
Waschung	умывание; обмывание; промывание; промывка
Warg	варг
aufbegehren	протестовать
herunterreißen	срывать; сдёргивать; сносить (ветром, водой)
Giftpfeil	отравленная стрела
Zielanflug	выход (заход) на цель
verhaken	техн. сцеплять (соединять) крюком
Motorgeräusch	шум двигателя
Spielstein	шашка, шахматная фигура
beratend	совещательный
umherziehen	бродить, кочевать
praktischerweise	кстати, удобно
Reeder	судовладелец
Fluggeschwindigkeit	скорость полета
Caballero	кабальеро
Kaschemme	кабак, притон
Meeresrauschen	шум моря
Heap	куча, хип
Banku	банку
Geldmenge	фин., экон. денежная масса
Salpeter	селитра
wegbrennen	выжигать, сжигать
Leistengegend	паховая область
Autohupe	автомобильный гудок
Trine	дура, растяпа
hochsteigen	подниматься, взбираться
obduzieren	вскрывать (труп)
überantworten	передавать, направлять (кого-л., что-л. кому-л., куда-л.); вверять
Kieferorthopäde	ортодонт
Mädchenhandel	торговля девушками
herumfragen	расспрашивать повсюду
überteuern	завышать цену (на что-л.)
Striplokal	стриптиз-клуб
Synergie	физиол. синергия
heimholen	вернуть домой
Interferon	биохим. интерферон
Brandschutztür	противопожарная дверь
Orangenblüte	цветок апельсина
Schädeldecke	черепная крышка
Kopfnuss	подзатыльник
hineindenken	вдумываться
anstechen	протыкать, пробивать
Babysitting	няньчить, бэбиситтинг
Amin	амин
Volldampf	полный ход
entmannen	оскоплять, кастрировать, холостить
subkutan	подкожный
Basilisk	василиск
Ruderer	гребец
Schuldkomplex	комплекс вины
Impresario	импресарио
verdingen	наниматься
Sprengstoffexperte	специалист по взрывчатке
Kriegstag	день войны
Diesellok	тепловоз
verschweißen	сваривать, заваривать, приваривать
Feindflugzeug	самолёт противника
vorehelich	добрачный
Augenzeugenbericht	рассказ [сообщение, показания] свидетеля [очевидца] (события, происшествия)
Sexualdelikt	половое преступление
Streitpunkt	спорный пункт
Messerwerfer	метатель ножей
ausleiern	срабатывать, скручивать (напр., винт в гнезде)
Megahertz	мегагерц
spitzenmäßig	первоклассный
Ammoniumnitrat	нитрат аммония, аммиачная селитра
UV-Lampe	УФ-лампа
Schickse	шикса
Palmach	Пальмах
gluckern	булькать (о воде)
Aggregat	агрегат
Berglöwe	горный лев
Latzhose	комбинезон
Abartigkeit	извращённость (мыслей, наклонностей)
Sturmangriff	атака, штурм
Bober	бобёр
Rigatoni	ригатони
Tannin	хим. танин
kleinbürgerlich	мелкобуржуазный; мещанский, обывательский
dahinscheiden	умирать
Pappmaché	папье-маше
öff	оп
vollpinkeln	обоссать
Fehlurteil	неправильный (ошибочный) приговор
Tapir	тапир
Speckschwarte	свиная шкурка
tantrisch	тантрический
Jugendbande	банда подростков
Vitaminpille	витаминка
Zentaur	кентавр, Кентавр
Monsun	муссон
Straferlass	освобождение от наказания; амнистия
Bückling	(подобострастный) поклон
Absonderung	отделение, обособление; разобщение; изолирование; сепарация
Landarzt	сельский врач
Energiesystem	энергосистема
buttern	масляный, из масла
Zerberus	цербер
Feldstein	валун
Lupine	люпин
Tele	теле-, телевик
Ischias	пояснично-крестцовый радикулит
Transsexuelle	транссексуалка
Milchtüte	пакет молока
Endokarditis	эндокардит
Hotte	Хотте
Nockenwelle	распределительный вал
fassbar	конкретный, явный, чёткий
Ambrosia	амброзия
Derivat	дериват
Tabakfirma	табачная фирма
Marktanteil	удельный вес на рынке, доля рынка
Transportmöglichkeit	возможность перевозки
Radiologe	радиолог
Sutra	сутра
Alki	алкаш
dreimalig	трёхразовый, трёхкратный, троекратный
sphärisch	сферический, шаровидный
Gammastrahlung	физ. гамма-излучение
Hohlladung	кумулятивный заряд
Verhaltensstörung	расстройство поведения
Körpertreffer	попадание в корпус
Blendgranate	светошумовая граната
Forstamt	лесничество
Nichterscheinen	неявка
Irrläufer	письмо, доставленное не по адресу
Sitzkissen	подушка для сидения
Laufstall	помещение для беспривязного содержания скота
Esplanade	эспланада, площадь, открытое место (перед зданием)
Matinée	утренник, матине
Überdruck	техн. избыточное (манометрическое) давление
Zielvorrichtung	прицел
Kommerzienrat	коммерции советник
Morgentoilette	утренний туалет
Kupplerin	сводница
hochheilig	einen hochheiligen Eid leisten — поклясться всем, что есть святого
Hotelsuite	гостиничный люкс
Kubikzentimeter	кубический сантиметр
Neuerscheinung	новинка (б. ч. о книге)
durchzählen	считать, пересчитать (всё целиком)
Goldsucher	золотоискатель, старатель
Großenkel	правнук, правнучка
Zwangsvollstreckung	принудительное приведение в исполнение судебного решения, принудительное взыскание
Gangsterboss	главарь банды
Antrittsrede	речь по случаю вступления в должность (руководителя учреждения и т. п.)
Einzelbild	отдельный кадр
Barmixer	бармен
sic	так (sic)
Brautschau	смотрины
Frischluft	свежий воздух
Familienfarm	семейная ферма
Gnadenschuss	контрольный выстрел
Funksender	радиопередатчик
Süßholzraspler	подхалим, льстец
Gewehrfeuer	ружейно-пулемётный огонь, огонь стрелкового оружия
Horrortrip	плохой трип
Rassel	погремушка
Malde	Мальде
Ketzerin	еретичка
prädestinieren	предназначать, предопределять
Gangplatz	место банды
unangreifbar	неприступный (напр., о крепости)
Weltraummüll	космический мусор
Tesafilm	скотч, клейкая лента
Sakristei	сакристия
Klingonin	клингонка
Knötchen	узелок
Frontmann	фронтмен
Nitroglyzerin	нитроглицерин
Funktelefon	радиотелефон
Schiffsschraube	гребной винт
Funkstation	радиостанция
Brathuhn	жареная курица
Koller	вспышка ярости, приступ гнева
Schänke	кабак, трактир
Yama	Яма
Riesenhit	суперхит
abmischen	сводить, микшировать
Mundstück	мундштук
Purim	Пурим
nachmessen	перемеривать, повторно измерять; проверять (контролировать) размеры (чего-л.)
Urinal	мочевой
Waffenschmied	оружейный мастер
Statut	юр. статут, устав
hinstarren	пялиться
Blätterteig	слоёное тесто
Ineffizienz	неэффективность
Ruheraum	комната отдыха
Sonnenöl	масло для загара
Fuchsjagd	охота на лис
Extrageld	приработок, лишние деньги
Nebengleis	ж.-д. запасный путь; параллельный путь
herumtelefonieren	разг. обзванивать (кого-л)
unautorisiert	несанкционированный
befrieden	обносить изгородью; охранять законом (памятники архитектуры)
Marsmännchen	марсианин
Zwillingstochter	дочь-близнец
Bluter	гемофилик
Schwarzbrennerei	подпольная винокурня
Schwurgericht	суд присяжных
Erntefest	праздник урожая
Minenschacht	шахтный ствол
Schuldverschreibung	облигация, выпущенная акционерным обществом
Hackbeil	тесак
Lauge	щёлочь
Reitunfall	несчастный случай на лошади
Flanellhemd	фланелевая рубашка
Auktionator	аукционист
Kornett	муз. корнет
Affekthandlung	действие в состоянии аффекта
Polizeihubschrauber	полицейский вертолёт
Inserent	помещающий объявление в газете
Empfangsraum	гостиная
Aufbewahrungsort	место хранения, хранилище
Sommerresidenz	летняя резиденция
Krapfen	пончик
Rednerpult	трибуна, кафедра
Startbefehl	команда на старт
Ferienort	курорт, место отдыха
abschöpfen	снимать (напр., пену); скачивать (пену, шлак)
FBI-Bericht	отчёт ФБР
festhängen	застрять
Siebener	семёрка
Gottesgabe	дар Божий
Pinscher	пинчер
Privatsektor	частный сектор
einschleppen	втаскивать
Spielhaus	игровой домик
Sprachzentrum	анат. центр речи
Nachahmungstäter	подражатель
Branchenbuch	справочник фирм
Saldo	сальдо
Racheplan	план мести
hippokratisch	гиппократов(ский), медицинский, врачебный
Anwaltskosten	судебные издержки
fünftens	в-пятых
Preisausschreiben	конкурс-лотерея, розыгрыш призов
Senffleck	пятно от горчицы
Rechtslage	правовое положение, правовой статус
Teamleiter	руководитель коллектива
aufstecken	подкалывать; накалывать
umkehrbar	обратимый (о процессе)
Stasis	стаз, стазис
Klebreis	клейкий рис
Zocker	игрок, азартный
Genießer	потребитель
Reisepapier	проездной документ
Staatskosten	за счёт государства
Heuer	в этом году
Ejakulation	эякуляция, семяизвержение, семяизлияние
Hochstand	высокий уровень
kleinkariert	ограниченный, мелочный
Kriegsrat	военный совет
Schleimerei	подхалимство
abwracken	разбирать на лом
Glasfaser	стекловолокно
Kunstschatz	художественное сокровище
Kaffer	чурка, ниггер
Regatta	регата
Verletzlichkeit	ранимость
Nachtmarkt	ночной рынок
antippen	слегка касаться (напр., пальцем)
Frühwarnsystem	система раннего предупреждения
Festsetzung	установление, назначение, решение
Fußkettchen	браслет на ногу
Spund	техн. шпунт
Resozialisierung	ресоциализация
Angedenken	память, воспоминание
Lebensmittelhändler	бакалейщик
Tischlerei	столярная мастерская
Twi	чви (язык)
US-Flagge	флаг США
Dienstrevolver	табельный револьвер
Baptistin	баптистка
Grippewelle	волна гриппа
Nordküste	северное побережье, северный берег
Tafelrunde	компания (сидящая) за столом
schauerlich	жуткий, ужасный, страшный, зловещий
Gamasche	гамаша
Wachtposten	часовой
Spezialabteilung	спецотдел
Vestibül	вестибюль, холл
Grammofon	граммофон
Todesstunde	час смерти, смертный час
Waffenlieferant	поставщик оружия
Hirnzelle	клетка мозга, мозговая клетка
Gesocks	сброд, шпана
Profiboxer	профессиональный боксёр
Sparringspartner	спарринг-партнёр
Aufsteiger	спорт. команда, переходящая (перешедшая) в более высокий класс
Wandzeitung	стенгазета
Hete	натуралка
Verteidigungsanlage	оборонительное сооружение
Totenglocke	религ. муз. погребальный колокол
Nachtflug	ночной полёт
Vorplatz	площадь перед каким-л. зданием; предфасадная площадь (напр., привокзальная)
Tauschgeschäft	экон. бартер, обмен
Nebelbank	полоса тумана
Ausguck	наблюдательный пост, дозорный
Mähre	кляча, одёр
Rizinusöl	касторовое масло
hellsichtig	ясновидящий
Bezirksgericht	районный суд
Scheißerchen	засранчик
Muselmann	мусульманин
Schlachtfest	праздник забоя свиньи
Ostium	устье, отверстие
Geheimzimmer	тайная комната
Claret	кларет
todtraurig	очень грустный
Riesenstreit	огромная ссора
zurückschieben	отодвигать, двигать назад
Geldquelle	источник денег
Rassistin	расистка
Diaphragma	диафрагма
Swinger	свингер
Fliegengitter	москитная сетка
Auswuchs	нарост, отросток
Schnapsdrossel	пьяница
Gis	соль-диез
Bauchladen	разг. лоток разносчика
erschauern	испугаться, трепетать
Brautbett	брачное ложе
Titelgeschichte	заглавная статья
Nitrat	нитрат
Fruchtwasser	мед. околоплодные воды
Getuschel	шёпот, шушуканье
Nachrüstung	техн. оснащение (чего-л)дополнительным устройством
nieten	клепать, заклёпывать
Bouillon	бульон
Wertvorstellung	представление о цене
Pfeifchen	трубочка
Eisladen	магазин мороженого, кафе-мороженое
Gepäckablage	багажная сетка, багажная полка
körnig	зернистый; крупчатый
kortikal	корковый
Gedenktag	день памяти, годовщина
vorherrschen	преобладать, господствовать, занимать господствующее положение, главенствовать
Schneideraum	монтажная
Gespielin	любовница
Priesterschaft	священство, духовенство
Blender	очковтиратель, обманщик
Striemen	рубец, полоса
unerklärlicherweise	необъяснимо
Halbwertzeit	период полураспада
Sandfloh	песчаная блоха
Schlagring	кастет
Werbeabteilung	рекламный отдел
Stammspieler	спорт. игрок основного состава команды
Gottesgeschenk	дар божий
Riesentitte	огромная сиська
Souk	базар, сук
Atombunker	противоатомное убежище
Viehbestand	поголовье скота
Heuballen	валок (сена), рулон (сена)
Leberfunktion	функция печени
Weltwirtschaftskrise	мировой экономический кризис
Kenntnisnahme	принятие к сведению, ознакомление
Friedensmission	миротворческая миссия
Perlmutt	перламутр
Mahnmal	памятник жертвам трагических событий (в предостережение потомкам)
Wumme	пушка, ствол
Riesenhaufen	огромная куча
Autoscheibe	стекло машины
Großraum	большое помещение
Drumherum	разг. мелочи, приклад; украшения
Faustpfand	ручной заклад
Telefonkabel	телефонный кабель
Hauptaugenmerk	основное внимание
Stinkwut	разг. неистовая ярость, бешеная злость
Schafbock	зоол. баран
Standardausrüstung	стандартное снаряжение
Fassadenkletterer	домушник-верхолаз
Hitzeschild	теплозащитный экран; жаростойкий защитный слой
Spielfeldrand	край поля
Geburtstagsessen	праздничный ужин на день рождения
Unfallopfer	жертва аварии
Sowjetarmee	Советская армия
Mondaufgang	восход луны
gnädigerweise	милостиво
Stahlarbeiter	сталелитейщик; сталевар
Beiwerk	украшение; убранство; мишура; аксессуары
Molch	зоол. саламандра; тритон
Damenwelt	шутл. женщины, дамы
Versammlungsort	место собрания
einsargen	положить в гроб
Computerwissenschaft	информатика
salü	привет, салют
Reeperbahn	Репербан
Textbuch	либретто, текст
aufzehren	поедать, истощать, изнурять себя
Intendant	директор; художественный руководитель; главный режиссёр (театра, радиовещательной или телевизионной станции)
Insigne	знак отличия
surren	жужжать
Gewäsch	разг. болтовня, сплетни
beidrehen	морск. ложиться в дрейф
umformen	придавать другую форму (чему-л.); изменять форму (чего-л.); деформировать (что-л.)
Rollkragen	водолазка
Filmkarriere	карьера в кино
Umgehung	обход
Schnörkel	росчерк (подписи); завиток (украшение)
Unterkiefer	нижняя челюсть
Feldforschung	полевое исследование
Schweinegrippe	свиной грипп
Strandkorb	плетёное кресло с тентом (на пляже)
Realitätssinn	чувство реальности
Sondersitzung	чрезвычайная сессия; чрезвычайное заседание
Necronomicon	Некрономикон
Stammkneipe	любимый бар
Pfandleihe	ломбард
Leichtgewicht	лёгкий вес
Täterbeschreibung	описание преступника
Teflon	тефлон
Begrüßungskomitee	приветственный комитет
Crevette	креветка
hauptberuflich	по основной профессии
Aspik	заливное, студень, желе, холодец
Präsidentensuite	президентский люкс
Zulassungsprüfung	вступительный (приёмный) экзамен
Showmaster	шоумен, ведущий
farblich	цветовой
Sülze	холодец, заливное
Ostufer	восточный берег
Ottomane	оттоманка
Kuratorin	кураторша
Souterrain	(полу)подвал, (полу)подвальный этаж
Kracher	разг. развалина (о дряхлом человеке, о разбитой вещи)
Abnormität	ненормальность
Klatscher	хлопальщик
Doppelagentin	двойной агент (жен.)
Schneeschuh	снежный ботинок
Verderbnis	(по)гибель
Fehlschuss	непопадание, промах при стрельбе
Heimleiter	заведующий общежитием
Hartholz	твёрдое дерево, дерево твёрдой породы, твёрдая древесина
zusammenwürfeln	собрать вместе, смешать
Vollkorn	цельнозерновой
Kettenhemd	кольчуга
Bauart	способ возведения, метод строительства
Geheimlabor	секретная лаборатория
Vulkanierin	вулканка
Mageninhalt	содержимое желудка
entschuldbar	простительный, извинительный
Affenscheiße	обезьянье дерьмо
prädestiniert	предопределённый
