Macht	мощь, сила, могущество, власть
abfahren	отправляться, отъезжать, вывозить, дать от ворот поворот
Nadel	игла
Honig	мёд
eindringen	внедрение, вторжение, проникновение
Sauerstoff	кислород
Zeh	палец на ноге, палец ноги
einholen	догонять, нагонять
Handschelle	наручник
prügeln	бить, колотить, избивать
bedeckt	покрытый
Klage	жалоба
überzeugend	убедительный
dreißig	тридцать
stundenlang	длящийся часами
zuschlagen	захлопывать
Würde	достоинство, титул
Scheune	сарай
Botschafter	посол
Stall	стойло
erbärmlich	жалкий
beraten	советовать
Frisur	причёска
übertrieben	чрезмерный
anzünden	зажигать
hereinkommen	входить
auslöschen	гасить, тушить
gruselig	жуткий
vergewaltigen	насиловать, изнасиловать
beugen	сгибать; наклонять
erben	наследовать
Betrug	обман, мошенничество, надувательство
Daumen	большой палец
Vorrat	резерв, запас, припас
Nichte	племянница
Einzelheit	подробность
Topf	кастрюля, горшок
zweifellos	несомненно , несомненный
Handtasche	сумочка
Bohne	боб, фасоль
Silber	серебро, серебряная посуда, серебряная медаль
kritisieren	критиковать
Ladung	груз, заряд, вызов, повестка
Heilmittel	лечебное средство
verärgert	сердитый
umgekehrt	обратный
erwidern	отвечать, возражать
verwunden	ранить
Fahne	флаг, знамя
anmachen	приправлять, зажигать, включать, прикреплять
unterschätzen	недооценивать
geradeaus	прямо
dar	представлять (собой)
erwecken	будить
anfangs	сначала
verkünden	возвещать, провозглашать, объявлять, обнародовать
hinkriegen	разг. справиться (с чем-л.); осуществить, совершить (что-л.)
Fahrkarte	билет
Nachbarschaft	соседство
erstellen	творить, сотворить, создавать, строить
Versammlung	собрание, ассамблея
abreißen	отрывать, разрываться, обрываться
behilflich	полезный
abhängig	зависимый
zuständig	ответственный
Kram	хлам, барахло, пожитки, скарб
Gürtel	пояс
Trennung	разделение, разрыв, разлука, развод
taugen	годиться, быть (при)годным (на что-л., для чего-л., к чему-л.)
plaudern	болтать
schleppen	тащить, тащиться, тянуть, таскать
betteln	просить
